"id","name","status"
"1","Tikka(Papidibilla)","1"
"2","Tikka(Papidibilla)","1"
"3","Bore(Mathapatti)","1"
"4","Mati(Matilu)","1"
"5","Earrings(Kammalu)","1"
"6","Nath(Mukkupudaka)","1"
"7","Nosepin","1"
"8","Jada(Jadalu)","1"
"9","Hair Pin(Jadabilla)","1"
"10","Choker","1"
"11","Necklace","1"
"12","Haram","1"
"13","Black Beads","1"
"14","Kante","1"
"15","Chain","1"
"16","Sutram Chain","1"
"17","Finger Ring","1"
"18","Ring With Bracelet","1"
"19","Bracelet","1"
"20","Armlet(Bhajuban)","1"
"21","Oddiyanam","1"
"22","Vanky","1"
"23","Kandholi","1"
"24","Bangles","1"
"25","Kadda(Kadiyam)","1"
"26","Pendant(Pathakam)","1"
"27","Brooch","1"
"28","Anklet(Pattilu)","1"
"29","NKL/Earrings","1"
"30","BB/PNDT","1"
"31","Chain/PNDT","1"
"32","BANG/FRNG","1"
"33","Haram/CHK","1"
"34","Mathapatti/Tikka","1"
"35","Earrings/Mattis ","1"
"36","Others","1"
"37","SET","1"
